# Oritasy whole-game ZH dictionary (English<TAB>中文)
# Generated for 0.0.9.50C — menus/keybinds/encyclopedia/HUD
# Lines starting with # ignored. Descriptions may use \n escapes.
# Expand path: append more EN\tZH rows; restart or toggle language.
AAM-2CV [IAL] [5kt]	AAM-2CV [IAL] [5kt]
AAM-2CV [IAL] [5kt] x2	AAM-2CV [IAL] [5kt] x2
AAM-2CV [IAL] [5kt] x3	AAM-2CV [IAL] [5kt] x3
Accept game Invite?	接受游戏邀请？
Active AI aircraft	活跃 AI 飞机
Add AI Aircraft per enemy Player	每名敌方玩家增加 AI 飞机
Add Restricted Unit	添加受限单位
Add Supply Unit	添加补给单位
Additional airframes reserved per player	每名玩家额外预留机体
AeroSentry SPAAG	空哨自行高炮
AFV6 AA	AFV6 防空型
AFV6 APC	AFV6 装甲运兵车
AFV6 AT	AFV6 反坦克型
AFV6 IFV	AFV6 步兵战车
AFV6-AA	AFV6-防空
AFV6-APC	AFV6-运兵
AFV6-AT	AFV6-反坦克
AFV6-IFV	AFV6-步战
AFV8 APC	AFV8 装甲运兵车
AFV8 IFV	AFV8 步兵战车
AFV8 Mobile Air Defense	AFV8 机动防空
AGM-48 	AGM-48
AGR-18 Lynchpin	AGR-18 销钉
AGR-24 Kingpin	AGR-24 主销
AIR-2 Genie	AIR-2 精灵
Airbase support vehicle capable of refueling aircraft parked within 300m	机场保障车，可为 300m 内停放飞机加油。
Airbase traffic control tower	机场交通管制塔台
Aircraft Revetment	飞机掩体
Aircraft Skill Multiplier	飞机技能倍率
Airframes to keep in reserve	预留机体数量
Alkyon AB-4	AB-4XE 蜂鸟
All hangars for this aircraft are currently in use, please try again in a moment...	该机型机库均在使用中，请稍后再试…
Allow Event Content	允许活动内容
Allow Player Respawn	允许玩家重生
Allowing a traverse range from -10 to +10 degrees and an elevation range from -20 to +5 degrees, this aimable cannon pod is effective against light armor or aircraft at distances of up to 2000m.	可俯仰/偏转瞄准的机炮吊舱，对轻装甲或飞机在约 2000m 内有效。
Allows continuous weapon rearmament for ground vehicles and aircraft within 100m. Avoid subjecting the container to large impact forces, as it may detonate.	可为 100m 内地面载具与飞机持续补弹。避免剧烈撞击，否则可能殉爆。
ALND-4 (20kt)	ALND-4（20千吨）
Ammo Dump	弹药堆场
An air transportable 10,000L fuel tank, commonly deployed at Forward Operating Bases.	空运 10000L 燃油罐，常部署于前进作战基地。
An air transportable 6,000L fuel tank, commonly deployed at Forward Operating Bases.	空运 6000L 燃油罐，常部署于前进作战基地。
An amphibious assault ship which can support rotary wing and V/STOL aircraft operations. It has a well deck from which it can launch landing craft, and it can perform shore bombardment with its 76mm cannon and dual-purpose 40mm point defence guns.	两栖攻击舰，可支援旋翼与短距/垂直起降飞机；设有坞舱以放出登陆艇，并以 76mm 炮与双用途 40mm 点防炮实施对岸火力。
An armored personnel carrier upfit for the Linebreaker chassis, this troop transport is well protected with good off-road mobility	破阵者底盘的装甲运兵型，防护良好且越野机动出色。
An autoloaded 76mm gun, firing fin-stabilised guided projectiles. The gun requires airflow for cooling. It has a maximum firerate of 60RPM for 10 seconds, and can sustain a constant firerate of at least 40 RPM while moving at 500kph	自动装填 76mm 炮，发射尾翼稳定制导弹；需气流冷却。最高射速 60RPM 可持续约 10 秒，500kph 机动时可维持至少 40RPM。
An elevated, air conditioned chair for a human sentry. Reveals targets within a 5km radius, and will defend itself with small arms fire within a 1km radius.	高架有空调的哨位。可揭示 5km 内目标，并在 1km 内以轻武器自卫。
An extended range guided artillery shell, using a combination of inertial navigation and terminal laser guidance to improve its accuracy.	增程制导炮弹，惯导与末端激光制导相结合以提高精度。
An fast firing, autoloaded 57mm gun, firing high velocity unguided shells. When fired against air targets, the shells use a proximity fuse to deal fragmentation damage.	高射速自动装填 57mm 炮，发射高速非制导炮弹；对空时使用近炸引信造成破片杀伤。
An open stockpile for storing conventional ammunition. Can resupply units within 300m.	露天常规弹药堆场，可为 300m 内单位补给。
Annex Class Carrier	附属级两栖攻击舰
Argus Class Frigate	阿尔戈斯级护卫舰
AT-145 Emplacement	AT-145 阵地
Auto Save	自动保存
Auto Save Settings	自动保存设置
Auto-Purge After	自动清理于
Auto-Save Frequency	自动保存频率
Automatic grenade launcher firing low-velocity 40mm explosive rounds, ideal for destroying small buildings or groups of lightly-armored targets	低速 40mm 爆炸榴弹自动发射器，适合摧毁小型建筑或轻装甲集群。
Aviation fuel depot that can fill empty aircraft tanks within 300m.	航空燃油库，可为 300m 内飞机加油。
Base Pitch Damping	基础俯仰阻尼
Bend D25x45deg 2D	弯段 D25×45° 2D
Bend D25x45deg 4D	弯段 D25×45° 4D
Boltstrike RAM45 Launcher	雷击 RAM-45 发射器
Boscali	博斯卡利
Bristling with air defense weapons, the Argus class is a missile frigate designed to protect valuable assets from air attack. Capable of locking down airspace in a wide radius, it is an essential component of BDF naval doctrine. The Argus class is fitted with the NL-98 active radar homing missile, capable of engaging datalinked targets at beyond visual ranges.	布满防空武器的导弹护卫舰，用于保护高价值目标免受空袭。可大范围封锁空域，是博斯卡利国防军（BDF）海军学说的关键。装备 NL-98 主动雷达寻的导弹，可超视距打击数据链目标。
Buy {Airframe} ?	购买 {Airframe} ？
Camo Net 1	伪装网
Can't edit both factions because supplies are not equal	补给不相等，无法同时编辑双方阵营
Can't edit both factions because values are not equal	价值不相等，无法同时编辑双方阵营
Capable of tracking multiple aerial units at ranges of up to 100km (60m).	可在约 100km 跟踪多个空中单位。
Cargo Hook	吊运挂钩
Carried by air defense vehicles and light aircraft, this heat-seeking missile is effective against air targets at a range up to 5km	由防空车辆与轻型飞机携带的红外寻的导弹，对空目标有效射程约 5km。
CHANGE NOTES (OPTIONAL)	更新说明（可选）
Changing this will rename the project folder	更改此项将重命名项目文件夹
CI-22 Cricket	CI-22XE 超级蟋蟀
Circle	圆形
climbRate	爬升率
Cloud Height	云高
Color	颜色
Column 50m	立柱 50m
Command vehicle capable of distributing targets from a radar to individual SAM launchers in a battery	指挥车，可将雷达目标分配给防空连内各发射车。
Concrete barrier	混凝土路障
Concrete Pad	混凝土坪
Concrete Wall	混凝土墙
Concrete Wall 10m	混凝土墙 10m
Cone D25x20m	锥体 D25×20m
Cone D40x20m	锥体 D40×20m
Cone D40x25m	锥体 D40×25m
Confined space compatible shoulder fired recoilless rifle	可在密闭空间使用的肩射无后坐力反坦克武器。
Container blue	集装箱（蓝）
Container orange	集装箱（橙）
Container red	集装箱（红）
Container stack	集装箱堆
Container white	集装箱（白）
Contribution Amount	捐献数额
Control Tower	塔台
Cooling Tower	冷却塔
Copy Error	复制错误
Counter	计数
Create Default	创建默认
Create Manual Save	创建手动存档
Cursor Class LFD	光标级轻型航母
Cylinder D20x50m	圆柱 D20×50m
Cylinder D25x50m	圆柱 D25×50m
Debug Visualizations	调试可视化
Demolition Bomb	爆破炸弹
Designed for a PALA fast vertical lift program in the 2050s, the UH-90 was conceptualized as a medium-sized compound utility helicopter, but has since been fitted with numerous weapon stations allowing it to occupy a gunship role. Featuring a coaxial rigid rotor system and two reversible turbine-electric ducted fans in pusher configuration, the Ibis can rapidly reach high cruising speeds before decelerating to a vertical landing in less than 30 seconds.	UH-90 源自 2050 年代快速垂直起降计划，初为中型复合多用途直升机，后加装多处武器站可兼任武装直升机。共轴刚性旋翼与两台可逆涡轮电动涵道推进风扇，使朱鹭能快速到达高巡航速度，并在 30 秒内减速垂直着陆。
Designed for counter insurgency operations and low-intensity battlefields, the CI-22 Cricket features robust landing gear and short takeoff and landing capability, allowing it to operate from unprepared fields. While lacking in speed and survivability, the CI-22 possesses remarkable agility and the ability to mount an array of weapon types	为反叛乱与低烈度战场设计，CI-22 蟋蟀起落架坚固并具备短距起降能力，可在简陋机场运作。虽缺乏速度与生存力，但机动出色并可挂载多种武器。
Designed for long-range precision strikes against high value targets, this tactical ballistic missile leaves the atmosphere before reentering on a steep trajectory, exceeding Mach 4 on impact. The Piledriver is virtually impossible to intercept without long range missile defenses in the vicinity of the target.	远程精确打击高价值目标的战术弹道导弹，离大气层后陡峭再入，撞击超过 4 马赫。若目标附近无远程导弹防御，几乎无法拦截。
Designed for rapidly delivering vehicles from Annex class assault carriers to landing points, this fast hovercraft can carry up to 80 tons of cargo and is equipped with an IRM-S1 launcher and heavy machine gun for self defense.	用于从附属级两栖攻击舰向登陆点快速投送车辆的气垫船，载重约 80 吨，并配备 IRM-S1 与重机枪自卫。
Designed specifically for anti-armor applications, this short range fire-and-forget missile is ideal for penetrating well protected tanks from any angle.	专为反装甲设计的短程发射后不管导弹，可从任意角度击穿防护良好的坦克。
Designed to supplement and eventually replace human sentries, the pillbox represents part of a networked perimeter monitoring system. The hardened structure houses a pair of autonomous 12.7mm machine gun turrets.	用于补充并最终取代人类哨兵的网络化周界监控节点；加固结构内有一对自主 12.7mm 机枪塔。
Directional offensive jammer, capable of blinding one targeted radar per pod at ranges of up to 50km.	定向进攻干扰吊舱，每个吊舱可在约 50km 致盲一部被选中的雷达。
Distribute Excess Funds	分配多余资金
Dynamo Class Destroyer	发电机级驱逐舰
Effective against ground targets or slow-flying aircraft at ranges of up to 8km, the AGM-48 can maneuver erratically to make interception difficult.	对地面目标或慢速飞机在约 8km 内有效；可做不规则机动以规避拦截。
Enrichment Plant	浓缩工厂
Escalation Co-op as BDF	升级协作（BDF）
Escalation Status	升级状态
EW-25 Medusa	EW-25XE 美杜莎
Eyeball Mk.II	眼球 Mk.II
Faction Starting Balance	阵营起始资金
Featuring 8 IR missile launchers, this air defense system is capable of intercepting missiles and aircraft at a range of up to 5km	配备 8 具红外导弹发射器，可在约 5km 内拦截导弹与飞机。
Featuring a unique 3-post ducted thrust system, this trainer doubles as an affordable attack aircraft with VTOL capability. The Vagrant is highly maneuverable and capable of transonic speeds, while also featuring a radar to allow engagement of air targets at beyond visual range. Although lacking advanced stealth features, the VT-7 continues to serve as the backbone of BDF naval aviation.	独特三支柱涵道推力教练机，兼作可负担的垂直起降攻击机。流浪者机动出色可达跨音速，并有雷达以超视距打击空中目标。虽缺先进隐身，仍是博斯卡利国防军海军航空的骨干。
Featuring powerful engines, a stealthy silhouette, and 4 large internal weapon bays, the SFB-81 Darkreach is a formidable bomber capable of deploying both conventional and nuclear weapons. Its blended wing design allows the Darkreach to conduct operations in a variety of flight regimes, from low-altitude penetrating strikes to standoff strategic bombardment.	SFB-81 暗域具备强劲发动机、隐身外形与 4 个大型内置弹舱，可投送常规与核武器。翼身融合设计使其能在低空突防到远程战略轰炸等多种飞行状态作战。
FGA-57 Anvil	FGA-57 铁砧
File	文件
Firing .50 caliber ammunition, the 12.7mm machine gun is effective against aircraft and lightly armored surface targets at ranges of up to 1km (0.61 miles).	发射 .50 口径弹药，12.7mm 转管机枪可有效打击飞机与轻装甲地面目标，射程约 1km。
Firing 57mm proximity fused explosive shells, the Anvil is capable of dealing devastating volleys against both air and land targets	发射 57mm 近炸高爆弹，可对空中与地面目标造成毁灭性齐射。
Flare Stack	火炬塔
Flat Platform	平底平台
Flying at subsonic speeds along a terrain-hugging flight path, this cruise missile is difficult to detect and can overwhelm defenses in large numbers.	亚音速贴地巡航导弹，难以探测，可大批量饱和防御。
FS-12 Revoker	FS-12XE '特殊'解放者
FS-20 Vortex	FS-20XE 狂涡
Fuel Container 10,000L	燃油容器 10000L
Fuel Container 1500L	燃油容器 1500L
Fuel Container 6000L	燃油容器 6000L
Fuel Depot	燃油库
Gabion Wall 10x1.5x1.5	石笼墙 10×1.5×1.5
Gabion Wall 20x3x3	石笼墙 20×3×3
Gear Trim	起落架配平
gForce	过载
Give away	赠送
gMax	最大过载
GPO-2P Auger	GPO-2P 螺旋钻
GPO-N (1.5kt)	GPO-N（1.5千吨）
GPO-N (250kt)	GPO-N（250千吨）
Graph	图表
Green	绿色
Group	编组
Group of 8 troops which stay with the aircraft, providing the ability to capture buildings and airbases when landed nearby	8 人步兵班随飞机行动，降落附近时可占领建筑与机场。
Guard Tower	哨塔
Guided thermonuclear bomb, set to strategic yield. Detonates after a minimum time delay of 16 seconds, when below 500m (1650ft) altitude. Unless being lofted, level bombing should be carried out at a minimum of 1300m(4300ft).	制导热核炸弹，战略当量。最少延时 16 秒，并在高度低于 500m 时起爆。非上抛投放时，平投高度建议至少 1300m。
Guided thermonuclear bomb, set to tactical yield. Detonates after a minimum time delay of 8 seconds, and when below 150m (500ft) altitude. For laydown delivery, it will deploy a parachute to allow the bomb to survive impact with the ground when dropped below 300m (1000ft).	制导热核炸弹，战术当量。最少延时 8 秒，并在高度低于 150m 时起爆。低空投放时可开伞以在低于 300m 落地时幸存。
GUN 12.7MM	12.7mm 机枪
GUN 12.7MM ROT	12.7mm 转管机枪
GUN 20MM POD	20mm 机炮吊舱
GUN 25MM POD	25mm 机炮吊舱
GUN 25MM ROT	25mm 转管炮
GUN 27MM	27mm 机炮
GUN 30MM	30mm 航炮
GUN 30MM ROT	30mm 转管炮
GUN 35MM	35mm 机炮
GUN 76MM	76mm 火炮
Hangar for storing medium-sized aircraft	存放中型飞机的机库
Harbor Crane	港口起重机
Hardened Aircraft Shelter	加固机库
Heartland	腹地
Heavy duty tractor cab for hauling large trailer systems	牵引大型挂车系统的重型牵引车头。
Heavy thermobaric guided bomb capable of devastating soft targets over a wide area. Best used against buildings or lightly defended groups of vehicles.	重型温压制导炸弹，可大范围摧毁软目标；最适合建筑或防御薄弱的车队。
Height	高度
Helipad	直升机坪
Hexhound GMG	六足猎犬 榴弹型
Hexhound SAM	六足猎犬 防空型
High energy laser weapon designed to intercept missiles and bombs at ranges of up to 15km.	高能激光武器，可在约 15km 内拦截导弹与炸弹。
HLT Fire Control	重型后勤车 火控
HLT Flatbed	重型后勤车 平板
HLT Fuel Tanker	重型后勤车 加油
HLT Mobile Artillery	重型后勤车 机动火炮
HLT Munitions Truck	重型后勤车 弹药
HLT Radar Truck	重型后勤车 雷达
HLT Tractor	重型后勤车 牵引
HLT-CRAM	HLT-CRAM 近防炮
HLT-HEL	HLT-HEL 激光防空
Hull down circular	圆形掩体斜坡
Hull down square	方形掩体斜坡
Hyperion Class Carrier	许珀里翁级航母
Ignus Archipelago	伊格努斯群岛
Ignus Archipelago | Mountain Pass	伊格努斯群岛 | 山口
Infantry Bunker	步兵碉堡
Infantry Squad	步兵班
Intermediate cartridge. It tickles.	中间威力枪弹。挠痒痒的。
IRM-S1 Emplacement	IRM-S1 阵地
Item	物品
Item Type	物品类型
Jammed Noise	干扰噪声
JAMMER POD	干扰吊舱
Joinable Factions	可加入阵营
Kill Reward Multiplier	击杀奖励倍率
KR-67 Ifrit	KR-67XE 堕天使
Label	标签
Large Factory	大型工厂
Large Platform	大型平台
LASER 120KW	120kW 激光
LASER 20KW	20kW 激光
LASER 80KW	80kW 激光
Last Modified	最后修改
LCV25 AA	LCV25 防空型
LCV25 AT	LCV25 反坦克型
LCV25 SAM	LCV25 防空导弹型
LCV45 Recon Truck	LCV45 侦察车
Lead	前置
Light Machine Gun	轻机枪
Linebreaker APC	破阵者 装甲运兵车
Linebreaker IFV	破阵者 步兵战车
Linebreaker SAM	破阵者 防空导弹
Load More	加载更多
Logistics vehicle with a loading system capable of handling a variety of tasks	具备装卸系统的后勤车，可执行多种任务。
Long range air defense trailer capable of engaging aerial targets detected by nearby radar trucks	远程防空拖车，可打击附近雷达车探测到的空中目标。
Long range air defense unit capable of engaging aerial targets detected by nearby radar trucks	远程防空单位，可打击附近雷达车探测到的空中目标。
Long range artillery rocket with inertial navigation and terminal laser guidance to improve accuracy. A thermobaric warhead provides enhanced blast effects, ideal for demolishing buildings and defensive structures.	远程火箭弹，惯导与末端激光制导提高精度；温压战斗部强化爆破，适合摧毁建筑与防御工事。
Long range ground launched semi-active radar homing missile	远程地射半主动雷达寻的导弹
Long range launcher armed with a pair of 20kt Nuclear Piledrivers. Will deploy and fire automatically on known datalinked targets once the strategic escalation threshold is met.	远程发射车，携带一对 20kt 核打桩机；战略升级阈值达标后自动对数据链目标展开射击。
Long range launcher armed with a pair of HE Piledrivers. Will deploy and fire automatically on known datalinked targets once the strategic escalation threshold is met.	远程发射车，携带一对高爆打桩机；战略升级阈值达标后，将对已知数据链目标自动展开并射击。
Long-range anti-surface missile employing a quasi-ballistic trajectory, allowing it to reach distant targets at supersonic speeds.	远程反舰/反地导弹，采用准弹道轨迹，以超音速打击远距离目标。
Long-range sky scanning radar	远程对空搜索雷达
Low velocity from short tube, fired more opportunistically by infantry	短管低初速榴弹，多由步兵伺机发射。
M12 Jackknife	M12 折刀
Max Auto Saves	最大自动存档数
Max Number of Wrecks	最大残骸数
Max Response Airspeed	最大响应空速
Max Response Rate	最大响应速率
Medium Aircraft Hangar	中型机库
Medium range 127mm rocket with a laser guidance package providing limited maneuverability. Launching aircraft must aim at the target and keep it selected to provide guidance.	中程 127mm 激光制导火箭，机动有限；发射机必须瞄准目标并保持选定以提供制导。
Medium-range heat seeking missile ideal for attacking fast and maneuverable aircraft	中程红外寻的导弹，适合打击快速高机动飞机。
Min Rank [2]	最低军衔 [2]
Minimum Rank	最低军衔
Minimum Value	最小值
MLRS R	多管火箭
MLRS Rocket	多管火箭弹
Modular Support Vehicle carrying a Laser Air Defence System capable of destroying small calibre aerial munitions.	携带激光防空系统的模块支援车，可摧毁小口径空中弹药。
Moon Phase	月相
Move To Position	移动到位置
MSV Ballistic Missile Launcher	模块支援车 弹道导弹发射车
MSV CRAM	模块支援车 CRAM
MSV Fire Control	模块支援车 火控
MSV Flatbed	模块支援车 平板
MSV Fuel Tanker	模块支援车 加油
MSV LADS	模块支援车 激光防空
MSV MLRS	模块支援车 多管火箭
MSV MRAP	模块支援车 防地雷车
MSV Munitions	模块支援车 弹药
MSV Nuclear Ballistic Missile Launcher	模块支援车 核弹道导弹发射车
MSV R9 Stratolance Launcher	模块支援车 R9 平流矛发射车
MSV Radar	模块支援车 雷达
MSV Tractor	模块支援车 牵引
Munitions Bunker	弹药碉堡
Munitions Container	弹药集装箱
Munitions Pallet	弹药托盘
Naval Ammo	舰用弹药
Naval Container	舰用补给集装箱
Naval Supply Container	舰用弹药补给箱
Naval Supply Pallet	舰用补给托盘
Need preview	需要预览
No Mission Name	无任务名称
No Moon	无月
NON-NUCLEAR	非核
Number of Lines	行数
Occupying three structural hardpoints and weighing in at 1.6 tons loaded, this seven-barrelled, twin motor behemoth fires a mixed belt of 30mm armour piercing incendiary & HE rounds at 3000rpm. Can be made effective against the majority of enemy vehicles, buildings, and slow moving aircraft.	占用三个结构挂点，满载约 1.6 吨；七管双电机转管炮以 3000rpm 混射穿燃与高爆弹，可对付多数车辆、建筑与慢速飞机。
OPEN ITEM	打开物品
OPEN LOCAL	打开本地
OPEN STEAM	打开 Steam
Open User Folder	打开用户文件夹
Optical	光学
Optically guided 250kg bomb capable of destroying heavily armored vehicles and small buildings.	光学制导 250kg 炸弹，可摧毁重装甲车辆与小型建筑。
Optically guided 250kg bomb, fitted with range extension kit to allow it to glide over long distances.	光学制导 250kg 炸弹，加装增程套件以长距离滑翔。
Optically guided 500kg bomb, ideal for attacking convoys and large buildings.	光学制导 500kg 炸弹，适合打击车队与大型建筑。
ORDER	命令
OTB-31 landing craft	OTB-31 登陆艇
Overall	总体
OWNER	所有者
Piledriver TBM	打桩机 战术弹道导弹
Piledriver TBM (20kt)	打桩机战术弹道导弹（20千吨）
Piledriver TBM (HE)	打桩机战术弹道导弹（高爆）
Pillbox	碉堡
Pilot	飞行员
Pipeline	管线
Pitch Trim Limit	俯仰配平限制
Pitch Trim Rate	俯仰配平速率
Player Allocation on Join	加入时玩家分配
Player Mode	玩家模式
Player Regular Income	玩家常规收入
Player Starting Rank	玩家起始军衔
Point-defence laser designed to intercept approaching missiles from within 2km.	点防御激光，可在约 2km 内拦截来袭导弹。
Point-defence laser designed to intercept approaching missiles from within 8km.	点防御激光，可在约 8km 内拦截来袭导弹。
Position	位置
Powerful long-range all-aspect radar, capable of spotting aircraft even at altitudes as low as 5m (16ft)	强力远程全向雷达，即使在约 5m 超低空也能发现飞机。
Prevent Players Donating Vehicles	禁止玩家捐献载具
Prevent Players Joining Faction	禁止玩家加入阵营
Preview (click to change)	预览（点击更改）
Primeva	普里梅瓦
PRIMEVA ARMED LIBERATION ALLIANCE	普里梅瓦武装解放联盟
Protected parking area for aircraft, shielded from shrapnel	有防护的停机区，可遮蔽弹片。
R45 Launcher	R45 发射器
RADAR	雷达
Radar Container	雷达集装箱
Radar Jamming Pod	雷达干扰吊舱
Radar Station	雷达站
Radome	雷达罩
RAM45 Launcher	RAM-45 发射器
Random	随机
Recent Saves	最近存档
Reduce AI Aircraft per friendly player	每名友方玩家减少 AI 飞机
Refinery Structure	炼油设施
Refrigerated, in-ground bulk liquid gas storage. Thick concrete for insulation makes it difficult to damage with weapons fire.	冷藏地下大宗液气储存；厚混凝土保温使其难以被火力轻易破坏。
Reinforced bunker for storing ammunition and nuclear warheads. Can resupply units within 300m. It is resistant to bombs and missiles, often requiring multiple direct hits or large/penetrating munitions to destroy it.	存放弹药与核弹头的加固碉堡，可为 300m 内单位补给。抗炸弹与导弹，通常需多次直接命中或大型/侵彻弹药才能摧毁。
Rename and Overwrite!!	重命名并覆盖！！
Request	请求
Reserve aircraft from your faction's inventory	从阵营库存预留飞机
Restrict Aircraft	限制飞机
Restrict Weapon	限制武器
Restricted Aircraft	受限飞机
Restricted Weapons	受限武器
Restrictions	限制
Ring D50m	环体 D50m
Rotation	旋转
Round rampart to provide cover for vehicles	圆形壁垒斜坡，为车辆提供掩护
Ruin Building	废墟建筑
SAH-46 Chicane	SAH-46XE 湾流
Save As Copy	另存副本
Save As Copy and Overwrite!!	另存副本并覆盖！！
Score Rank Multiplier	得分军衔倍率
